feature,importance
m_bb,0.09976156157744104
m_wbb,0.06273678543611355
m_wwbb,0.06200004512218358
m_jjj,0.04976219919445891
jet_1_pt,0.04925554256565721
m_jlv,0.048289651707894565
missing_energy_magnitude,0.04086871416454906
lepton_pT,0.03916331507376681
jet_2_pt,0.037388331816940484
m_jj,0.036135660764007545
jet_3_pt,0.03538226196212062
jet_4_pt,0.03442046329710376
jet_4_eta,0.03366941964558332
jet_4_phi,0.032990537234413066
jet_1_eta,0.03276621176299241
jet_1_phi,0.03232713862609324
lepton_eta,0.03172574323233
jet_2_phi,0.031358841257506626
jet_3_eta,0.031215464321358636
jet_3_phi,0.0311315049764856
missing_energy_phi,0.031051706014654748
m_lv,0.03091210464525686
jet_2_eta,0.030831849582680405
lepton_phi,0.030599667150075466
jet_1_b_tag,0.0073502681428103366
jet_2_b_tag,0.005894652510196739
jet_3_b_tag,0.005636247474990986
jet_4_b_tag,0.00537411074033439
