feature,importance_mean,importance_std
m_bb,0.09178908117074866,0.01053915623946698
m_wwbb,0.07072254468305009,0.006891692950764927
m_wbb,0.04414880212500447,0.006034475343793101
m_jlv,0.02763235322470815,0.004728521965791262
m_jjj,0.01785125956539103,0.005004729412711606
jet_1_pt,0.015258032497291806,0.0050530339298181575
missing_energy_magnitude,0.004867709362591255,0.004585590168229907
jet_3_eta,0.0023106251916302223,0.002619950404375764
jet_4_b_tag,0.00198908355801799,0.002699590485233774
jet_1_phi,0.0018932404831477957,0.003981032011878798
jet_1_eta,0.0016108134067678082,0.0030124576009229044
missing_energy_phi,0.0014747569788450487,0.000782321733789319
jet_1_b_tag,0.00011662431721253253,0.001815588413103721
lepton_phi,-6.479164686203908e-05,0.004096912086605383
jet_3_pt,-6.611874562892917e-05,0.005473230751902473
jet_4_pt,-7.653188540666101e-05,0.003923329690879214
lepton_eta,-0.000309411550947003,0.003586803057656658
jet_2_b_tag,-0.0003951738437633301,0.0016796707582038266
jet_3_phi,-0.00106596913665713,0.0027381805016488438
lepton_pT,-0.001881045657252145,0.0033821261545545667
jet_2_phi,-0.0019206315936061257,0.002372772824569059
m_jj,-0.002139491813327321,0.003030205268898945
jet_2_eta,-0.0030270398198281256,0.0014590115543615988
jet_3_b_tag,-0.004207963417047633,0.0031882845194933095
jet_4_eta,-0.004546548209498791,0.00218597151827081
m_lv,-0.00503302466864034,0.002716508427109568
jet_4_phi,-0.005638757028423469,0.004197911907340756
jet_2_pt,-0.005760794427075666,0.004462794932651924
